Test Sponsor$System Name$Parallel$Base  Threads$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Gold 6226)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$121$121$--$--$Jul-2019$Intel Xeon E-2126G$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz, Intel Xeon Gold 5217)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$91.1$91.4$--$--$Jul-2019$Intel Xeon E-2136$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$124$125$--$--$Jul-2019$Intel Xeon E-2124G$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218B)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$125$125$--$--$Jul-2019$Intel Xeon E-2134$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 5215)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$20$2$1$96.6$97.3$--$--$Jun-2019$Intel Xeon E-2146G$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS100-E10(P11C-M/4L) Server System (3.40 GHz, Intel Xeon E-2124G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$27.1$27.5$--$--$Aug-2019$Intel Xeon E-2144G$3600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS100-E10(P11C-M/4L) Server System (3.20 GHz, Intel Xeon E-2104G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$23.8$24.2$--$--$Aug-2019$Intel Xeon E-2176G$3700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz, Intel Xeon E-2124)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$26.3$26.7$--$--$Aug-2019$Intel Xeon E-2174G$3800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Silver 4214)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$99.8$101$--$--$Apr-2019$Intel Xeon E-2104G$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Silver 4215)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$84.0$84.2$--$--$Apr-2019$Intel Xeon E-2124$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Silver 4208)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$72.9$73.2$--$--$May-2019$Intel Xeon E-2126G$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
